sample_id,dataset,stratum,question_len,difficulty,n_clues,n_cells,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max,cost_low,cost_high,cost_max,latency_low,latency_high,latency_max,best_setting,label
aime_021,aime,1,494,0.5,0,0,1.0,1.0,1.0,24437.4,48304.8,57811.6,0.00687,0.013564,0.016228,262608.6,469996.6,618846.2,low,low
aime_022,aime,1,309,0.5,0,0,1.0,1.0,1.0,5719.0,5122.4,7346.0,0.001617,0.001461,0.002085,61165.4,52736.4,80300.0,high,high
aime_023,aime,1,393,0.5,0,0,1.0,1.0,1.0,3640.2,2038.0,4887.0,0.001041,0.000604,0.001403,37937.4,20415.2,52508.6,high,high
aime_024,aime,1,377,0.5,0,0,1.0,1.0,1.0,777.6,710.6,894.2,0.000242,0.000234,0.000287,6200.0,5908.6,7606.2,high,high
aime_025,aime,1,233,0.5,0,0,1.0,1.0,1.0,12289.6,20896.2,19108.6,0.003454,0.005875,0.005376,126518.8,204212.2,195771.0,low,low
aime_026,aime,1,237,0.5,0,0,1.0,1.0,1.0,2053.0,1267.8,2486.4,0.000588,0.000379,0.000723,19009.0,11749.6,24540.0,high,high
aime_027,aime,1,266,0.5,0,0,1.0,0.8,0.8,7456.2,13951.6,22380.8,0.002102,0.003932,0.006294,69365.0,128502.6,223043.4,low,low
aime_028,aime,1,938,0.5,0,0,1.0,1.0,1.0,9757.0,11363.6,19070.4,0.002791,0.003252,0.005411,97524.8,113380.4,209959.0,low,low
aime_029,aime,1,422,0.5,0,0,1.0,1.0,1.0,11215.0,14832.2,25410.6,0.003158,0.004182,0.007146,127355.4,163209.0,290102.2,low,low
easy2hard_E2H-AMC_00037,easy2hard_amc,2,131,0.23560326371241203,0,0,1.0,1.0,1.0,222.6,249.2,241.6,7.5e-05,9.4e-05,9.3e-05,2993.6,3159.0,3228.0,low,low
easy2hard_E2H-AMC_00125,easy2hard_amc,1,90,0.17696056087801681,0,0,1.0,1.0,1.0,74.4,72.0,78.6,3.1e-05,4.1e-05,4.5e-05,1409.0,1371.2,1662.0,high,high
easy2hard_E2H-AMC_00145,easy2hard_amc,2,94,0.2299648044570976,0,0,1.0,1.0,1.0,284.2,236.8,317.2,8.9e-05,8.7e-05,0.000111,3818.6,3196.4,3890.4,high,high
easy2hard_E2H-AMC_00165,easy2hard_amc,1,188,0.18547300552896723,0,0,1.0,1.0,1.0,3518.2,792.0,4728.4,0.000998,0.000245,0.001349,33568.0,9840.2,47155.6,high,high
easy2hard_E2H-AMC_00179,easy2hard_amc,4,383,0.5759120473062277,0,0,1.0,1.0,1.0,6089.2,12280.8,14395.2,0.001729,0.003473,0.004067,56333.8,116418.6,145256.0,low,low
easy2hard_E2H-AMC_00194,easy2hard_amc,1,562,0.1343438882587494,0,0,1.0,1.0,1.0,321.0,336.8,693.4,0.000135,0.00015,0.000252,4261.8,3836.8,7561.8,low,low
easy2hard_E2H-AMC_00235,easy2hard_amc,3,180,0.3310985984261779,0,0,0.0,0.0,0.0,12099.8,21740.6,34101.8,0.003402,0.006112,0.009575,106502.2,186512.0,305155.6,low,low
easy2hard_E2H-AMC_00281,easy2hard_amc,4,215,0.5681311369660672,0,0,1.0,1.0,1.0,17887.0,26076.6,35202.8,0.005022,0.007326,0.009883,176505.8,229880.8,329777.8,low,low
easy2hard_E2H-AMC_00370,easy2hard_amc,4,455,0.6934278703107896,0,0,1.0,1.0,1.0,14714.8,33657.6,21120.8,0.004141,0.009456,0.005947,130602.8,1097059.0,186365.0,low,low
easy2hard_E2H-AMC_00373,easy2hard_amc,5,168,0.7314662554756136,0,0,0.0,0.0,0.0,2117.8,2377.4,4602.6,0.000608,0.000691,0.001317,21146.4,20590.0,45590.4,low,low
easy2hard_E2H-AMC_00376,easy2hard_amc,4,440,0.566432638491592,0,0,1.0,1.0,1.0,12456.6,16953.8,29626.8,0.003512,0.004782,0.008332,122393.0,1826578.2,297590.8,low,low
easy2hard_E2H-AMC_00460,easy2hard_amc,4,522,0.6161584062709906,0,0,0.0,0.0,0.0,10499.2,13311.4,36344.2,0.002965,0.003763,0.010214,108793.2,129367.8,363837.0,low,low
easy2hard_E2H-AMC_00467,easy2hard_amc,1,174,0.12045089218061994,0,0,1.0,1.0,1.0,1793.8,1165.4,2854.0,0.000514,0.000349,0.000823,17402.4,11680.8,26809.0,high,high
easy2hard_E2H-AMC_00497,easy2hard_amc,1,154,0.19962213692052533,0,0,1.0,1.0,1.0,197.8,156.4,196.8,6.6e-05,6.5e-05,7.8e-05,2430.8,2112.4,2443.4,high,high
easy2hard_E2H-AMC_00504,easy2hard_amc,3,77,0.49977776710688054,0,0,0.0,0.0,0.0,705.2,681.4,840.6,0.000217,0.000223,0.000267,5749.6,6027.8,7465.2,high,high
easy2hard_E2H-AMC_00515,easy2hard_amc,3,193,0.3374498776950849,0,0,0.0,0.0,0.0,8255.6,23352.8,38897.0,0.002325,0.006563,0.010917,84265.0,217521.8,386917.8,low,low
easy2hard_E2H-AMC_00523,easy2hard_amc,1,155,0.019434172627954945,0,0,0.0,0.0,0.0,54.4,41.2,47.0,2.6e-05,3.3e-05,3.7e-05,1449.2,1402.8,1505.8,high,high
easy2hard_E2H-AMC_00556,easy2hard_amc,3,284,0.4530913586646903,0,0,0.0,0.0,0.0,5604.4,5390.6,17259.4,0.001586,0.001538,0.004863,59461.8,47221.6,165387.2,high,high
easy2hard_E2H-AMC_00587,easy2hard_amc,1,336,0.21260535244232595,0,0,0.0,0.0,0.0,2922.6,1137.0,5680.4,0.000835,0.000346,0.001621,31459.0,12993.2,61387.4,high,high
easy2hard_E2H-AMC_00674,easy2hard_amc,3,138,0.4585704171168985,0,0,1.0,1.0,1.0,404.4,557.0,666.6,0.000125,0.000179,0.000212,3612.4,5024.2,6349.8,low,low
easy2hard_E2H-AMC_00743,easy2hard_amc,1,54,0.12160996570003577,0,0,1.0,1.0,1.0,132.8,111.0,162.6,4.5e-05,5e-05,6.6e-05,1683.8,1530.8,2018.4,high,high
easy2hard_E2H-AMC_00780,easy2hard_amc,5,325,0.8750464930693157,0,0,0.8,1.0,0.8,8895.6,10318.2,21507.0,0.002508,0.002918,0.006052,79571.2,84168.8,190972.2,high,high
easy2hard_E2H-AMC_00782,easy2hard_amc,5,381,0.712123398998356,0,0,1.0,1.0,1.0,5464.8,3759.4,11172.0,0.001549,0.001083,0.00316,51174.8,37983.2,104755.8,high,high
easy2hard_E2H-AMC_00808,easy2hard_amc,5,208,0.9252003625723597,0,0,0.4,0.2,0.0,8141.0,17920.2,29282.2,0.002296,0.005046,0.008228,71927.6,146808.6,259105.6,low,low
easy2hard_E2H-AMC_00818,easy2hard_amc,3,391,0.32113849227973756,0,0,0.8,1.0,1.0,5372.8,6266.8,25014.2,0.001524,0.001785,0.007036,52368.0,60796.8,244643.4,high,high
easy2hard_E2H-AMC_00833,easy2hard_amc,2,379,0.29783101369410125,0,0,0.8,1.0,0.6,3248.2,2295.6,10527.0,0.000927,0.00067,0.002977,33143.2,23446.4,105074.2,high,high
easy2hard_E2H-AMC_00982,easy2hard_amc,4,306,0.7002494549602556,0,0,1.0,1.0,1.0,8065.0,12111.2,21683.4,0.002275,0.003419,0.006101,79712.6,111856.0,211986.8,low,low
easy2hard_E2H-AMC_01007,easy2hard_amc,2,498,0.2166714410437161,0,0,1.0,1.0,0.6,11016.0,19939.4,23537.8,0.003107,0.005616,0.006626,101874.8,187322.0,228846.6,low,low
easy2hard_E2H-AMC_01022,easy2hard_amc,5,131,0.7576958352046159,0,0,1.0,1.0,1.0,5740.4,6511.4,10479.8,0.001617,0.001844,0.002957,49424.4,54864.4,98159.2,low,low
easy2hard_E2H-AMC_01105,easy2hard_amc,3,147,0.3651552745919018,0,0,0.0,0.4,0.4,523.0,361.2,459.4,0.000158,0.000124,0.000153,5140.2,3662.2,4518.2,high,high
easy2hard_E2H-AMC_01139,easy2hard_amc,2,101,0.2867691981820786,0,0,1.0,1.0,1.0,736.2,1235.2,1656.6,0.000218,0.000369,0.000489,6362.0,11058.8,13880.8,low,low
easy2hard_E2H-AMC_01163,easy2hard_amc,5,307,0.7187853894797412,0,0,1.0,1.0,0.8,2587.2,3059.2,6555.8,0.000744,0.000887,0.001868,20755.4,26071.6,55446.2,low,low
easy2hard_E2H-AMC_01171,easy2hard_amc,4,352,0.5689325623877296,0,0,1.0,1.0,1.0,1298.0,1708.2,2381.2,0.000384,0.00051,0.0007,11265.4,14264.6,22409.0,low,low
easy2hard_E2H-AMC_01172,easy2hard_amc,1,348,0.14002747472046437,0,0,0.0,0.0,0.0,1606.2,642.8,1597.4,0.000469,0.00021,0.000479,16415.8,6424.6,15440.6,high,high
easy2hard_E2H-AMC_01205,easy2hard_amc,1,226,0.19788190751795492,0,0,1.0,1.0,1.0,455.8,532.4,594.8,0.000141,0.000174,0.000193,5180.6,5943.0,6868.2,low,low
easy2hard_E2H-AMC_01206,easy2hard_amc,2,173,0.24487270899937152,0,0,1.0,1.0,1.0,959.8,691.4,995.6,0.00028,0.000216,0.000303,9312.0,6828.2,9605.8,high,high
easy2hard_E2H-AMC_01230,easy2hard_amc,4,171,0.6165737811512877,0,0,0.8,1.0,1.0,25049.6,25693.2,29090.8,0.007028,0.007219,0.008172,258886.8,254958.8,303406.0,high,high
easy2hard_E2H-AMC_01246,easy2hard_amc,5,100,0.7062694089246391,0,0,1.0,1.0,1.0,3273.4,4787.2,6360.2,0.000927,0.001362,0.001804,35065.2,49024.6,68021.4,low,low
easy2hard_E2H-AMC_01311,easy2hard_amc,1,361,0.0930869370380453,0,0,0.6,0.8,1.0,321.2,237.8,362.2,0.000107,9.5e-05,0.000131,4112.0,3218.6,4562.2,max,max
easy2hard_E2H-AMC_01370,easy2hard_amc,3,256,0.35442880990114445,0,0,1.0,1.0,1.0,13601.8,13081.4,18304.4,0.003822,0.003687,0.005152,119143.2,242168.8,834259.2,high,high
easy2hard_E2H-AMC_01422,easy2hard_amc,2,202,0.2832828863018224,0,0,1.0,1.0,1.0,354.4,879.0,708.6,0.000112,0.00027,0.000224,3440.0,8065.4,6549.4,low,low
easy2hard_E2H-AMC_01439,easy2hard_amc,3,258,0.40808793910364677,0,0,0.0,0.4,1.0,1462.4,1143.8,2289.2,0.000424,0.000346,0.000669,282208.4,10690.4,20218.0,max,max
easy2hard_E2H-AMC_01462,easy2hard_amc,4,752,0.638712674950658,0,0,1.0,1.0,1.0,17123.6,23334.2,37052.2,0.004826,0.006576,0.010419,168199.8,215809.2,381339.8,low,low
easy2hard_E2H-AMC_01465,easy2hard_amc,1,176,0.19900922569211885,0,0,1.0,1.0,1.0,227.2,154.4,152.4,7.6e-05,6.7e-05,6.8e-05,2471.2,2062.0,2196.6,max,max
easy2hard_E2H-AMC_01517,easy2hard_amc,4,151,0.5260184792502807,0,0,1.0,1.0,1.0,1064.0,1111.0,1713.4,0.00031,0.000335,0.000505,9878.0,9731.0,16371.2,low,low
easy2hard_E2H-AMC_01543,easy2hard_amc,4,398,0.6407352394180712,0,0,1.0,1.0,1.0,3090.0,7157.4,10732.6,0.000886,0.002036,0.003039,33952.2,73493.4,116224.4,low,low
easy2hard_E2H-AMC_01706,easy2hard_amc,5,697,0.846783424820395,0,0,0.0,0.0,0.0,28209.4,47580.4,43336.4,0.007926,0.013361,0.012175,307983.4,486740.2,463996.4,low,low
easy2hard_E2H-AMC_01755,easy2hard_amc,3,250,0.33087738783798093,0,0,1.0,1.0,1.0,1152.8,1828.0,2686.2,0.000343,0.000543,0.000785,9733.8,15521.0,23143.4,low,low
easy2hard_E2H-AMC_01758,easy2hard_amc,5,305,0.8305227169618877,0,0,0.0,0.0,0.0,1875.2,2412.6,4265.6,0.000552,0.000713,0.001234,15049.8,20665.4,38983.8,low,low
easy2hard_E2H-AMC_01778,easy2hard_amc,3,845,0.30615832349377065,0,0,0.0,0.0,0.0,5941.8,6115.0,13641.8,0.00172,0.00178,0.00389,50489.8,51468.0,132090.2,low,low
easy2hard_E2H-AMC_01787,easy2hard_amc,5,228,0.7302083392250834,0,0,1.0,1.0,1.0,1733.2,2270.2,4590.2,0.000501,0.000663,0.001314,17224.6,24102.4,49225.0,low,low
easy2hard_E2H-AMC_01804,easy2hard_amc,3,294,0.36753428851419534,0,0,1.0,1.0,1.0,3040.4,1948.6,3103.6,0.000867,0.000572,0.000898,27809.0,18936.8,30455.8,high,high
easy2hard_E2H-AMC_01869,easy2hard_amc,4,92,0.6766951185863175,0,0,1.0,1.0,1.0,736.8,858.4,790.2,0.000217,0.000262,0.000244,6790.0,8180.8,7302.8,low,low
easy2hard_E2H-AMC_01872,easy2hard_amc,3,115,0.49954482578654485,0,0,1.0,1.0,1.0,2889.2,4494.0,5149.4,0.000818,0.001278,0.001464,29896.8,46377.6,56065.4,low,low
easy2hard_E2H-AMC_01949,easy2hard_amc,3,140,0.32715880299571715,0,0,1.0,1.0,0.8,777.0,1074.4,6227.0,0.000228,0.000322,0.001767,7464.8,10224.2,61037.4,low,low
easy2hard_E2H-AMC_01952,easy2hard_amc,3,60,0.33801891762254055,0,0,1.0,1.0,1.0,92.8,88.0,92.0,3.4e-05,4.4e-05,4.7e-05,1380.2,1474.6,1377.8,high,high
easy2hard_E2H-AMC_01990,easy2hard_amc,4,371,0.6633506571429243,0,0,0.2,0.6,0.0,8246.2,8446.6,14040.4,0.002338,0.002405,0.003973,71818.2,70927.6,133177.6,high,high
easy2hard_E2H-AMC_02180,easy2hard_amc,2,545,0.2699011658757517,0,0,1.0,1.0,1.0,4161.4,4594.0,12196.0,0.001203,0.001335,0.003465,40552.6,45402.2,120609.2,low,low
easy2hard_E2H-AMC_02195,easy2hard_amc,2,235,0.24112184562504377,0,0,1.0,1.0,1.0,2559.4,1303.8,1378.2,0.000731,0.000391,0.000413,23165.2,11887.0,13336.8,high,high
easy2hard_E2H-AMC_02226,easy2hard_amc,1,108,0.19185530598768682,0,0,1.0,1.0,1.0,119.4,117.4,130.6,4.5e-05,5.5e-05,6.1e-05,1730.6,1680.8,1880.6,high,high
easy2hard_E2H-AMC_02232,easy2hard_amc,5,179,0.7166691109902228,0,0,1.0,1.0,1.0,217.6,244.0,262.6,7.5e-05,9.4e-05,0.000101,2452.8,2756.4,2712.4,low,low
easy2hard_E2H-AMC_02288,easy2hard_amc,5,220,0.7750192509400089,0,0,1.0,1.0,1.0,15494.2,16627.8,29365.2,0.004352,0.004681,0.008249,164618.0,163305.8,311075.0,low,low
easy2hard_E2H-AMC_02316,easy2hard_amc,2,108,0.2411595042861507,0,0,1.0,1.0,1.0,386.2,414.6,553.2,0.000118,0.000137,0.000178,3574.6,3965.4,5255.4,low,low
easy2hard_E2H-AMC_02317,easy2hard_amc,3,163,0.4695693712603573,0,0,1.0,1.0,1.0,1036.0,799.0,859.6,0.000305,0.00025,0.000269,10499.2,8130.6,8825.2,high,high
easy2hard_E2H-AMC_02639,easy2hard_amc,2,139,0.24062649969560496,0,0,1.0,1.0,1.0,1213.0,951.8,1726.0,0.000351,0.000288,0.000507,12418.2,9493.2,17896.2,high,high
easy2hard_E2H-AMC_02662,easy2hard_amc,3,59,0.45130149933886965,0,0,0.2,0.2,0.0,515.6,1083.2,1131.0,0.000152,0.000322,0.000337,5408.8,11386.8,12396.0,low,low
easy2hard_E2H-AMC_02664,easy2hard_amc,5,446,0.8425272182337594,0,0,1.0,1.0,1.0,1558.0,3434.2,7880.6,0.000467,0.001004,0.002251,12949.6,29030.8,74355.8,low,low
easy2hard_E2H-AMC_02787,easy2hard_amc,1,1114,0.08285032118719092,0,0,1.0,1.0,1.0,5767.8,5802.2,13061.8,0.001673,0.001694,0.003728,56225.2,58036.8,144487.2,low,low
easy2hard_E2H-AMC_02852,easy2hard_amc,2,340,0.29797846478645856,0,0,1.0,1.0,1.0,6766.4,2769.4,6656.2,0.00191,0.000802,0.001892,70978.0,28390.6,67624.6,high,high
easy2hard_E2H-AMC_02864,easy2hard_amc,4,126,0.5196337162255144,0,0,1.0,1.0,1.0,973.2,994.8,1251.8,0.000285,0.000302,0.000375,10537.2,11065.4,14508.8,low,low
easy2hard_E2H-AMC_02935,easy2hard_amc,2,207,0.23553607571819365,0,0,1.0,1.0,1.0,676.0,391.8,657.8,0.000202,0.000133,0.00021,6730.8,4137.4,6899.8,high,high
easy2hard_E2H-AMC_02989,easy2hard_amc,1,363,0.1353251109089588,0,0,0.0,0.0,0.0,15410.6,12165.2,20658.2,0.004345,0.003447,0.005827,186290.6,131271.8,236905.8,high,high
easy2hard_E2H-AMC_03005,easy2hard_amc,4,423,0.5422437553664943,0,0,1.0,1.0,1.0,507.0,741.8,1338.0,0.000162,0.000239,0.000408,4868.2,7437.6,13442.8,low,low
easy2hard_E2H-AMC_03056,easy2hard_amc,3,131,0.432081161281796,0,0,1.0,1.0,1.0,2403.8,2940.8,5314.6,0.000684,0.000846,0.001512,25181.2,30830.8,56756.0,low,low
easy2hard_E2H-AMC_03083,easy2hard_amc,2,132,0.2535994116496956,0,0,1.0,1.0,1.0,2946.8,2159.0,3688.0,0.000836,0.000626,0.001056,29056.0,20664.8,36462.2,high,high
easy2hard_E2H-AMC_03103,easy2hard_amc,5,159,0.7607937056033203,0,0,1.0,1.0,1.0,5336.0,7603.0,11765.0,0.001505,0.002151,0.003318,54321.6,77261.8,121415.4,low,low
easy2hard_E2H-AMC_03140,easy2hard_amc,2,214,0.25691884956345806,0,0,0.2,1.0,0.8,760.8,391.8,434.2,0.000225,0.000132,0.000146,7971.4,4459.0,5039.6,high,high
easy2hard_E2H-AMC_03181,easy2hard_amc,4,245,0.5258284058382668,0,0,1.0,1.0,1.0,1337.2,2182.8,3135.8,0.000394,0.000642,0.000911,12518.4,20224.4,31071.4,low,low
easy2hard_E2H-AMC_03220,easy2hard_amc,1,281,0.05143072385213076,0,0,1.0,1.0,1.0,2244.4,1281.6,1264.8,0.000645,0.000387,0.000384,21365.2,12455.6,11787.2,max,max
easy2hard_E2H-AMC_03238,easy2hard_amc,4,451,0.5340207170294095,0,0,1.0,1.0,1.0,1326.8,2874.0,9606.4,0.000399,0.000844,0.002731,16111.8,33115.6,109402.6,low,low
easy2hard_E2H-AMC_03249,easy2hard_amc,5,242,0.7529947673147298,0,0,0.8,0.8,1.0,22979.0,46879.2,39184.8,0.006449,0.013152,0.011,367924.6,410843.0,394508.8,max,max
easy2hard_E2H-AMC_03324,easy2hard_amc,5,311,0.8117964127225844,0,0,1.0,1.0,0.8,13016.2,24354.4,29307.2,0.003664,0.006849,0.008238,138527.8,246599.6,313268.0,low,low
easy2hard_E2H-AMC_03362,easy2hard_amc,2,311,0.21700094733731287,0,0,1.0,1.0,1.0,1125.0,1601.4,1367.6,0.000334,0.000478,0.000415,11996.2,17718.6,15421.4,low,low
easy2hard_E2H-AMC_03414,easy2hard_amc,4,298,0.5124120275054999,0,0,1.0,1.0,1.0,6977.6,10770.2,23469.0,0.001971,0.003044,0.006602,70305.6,105099.8,240809.4,low,low
easy2hard_E2H-AMC_03416,easy2hard_amc,1,406,0.1892685387907711,0,0,0.6,1.0,0.6,2057.6,566.6,2849.6,0.000594,0.000187,0.000828,23290.0,6528.2,33061.6,high,high
easy2hard_E2H-AMC_03422,easy2hard_amc,5,184,0.8048097310696156,0,0,1.0,1.0,1.0,3967.8,4610.6,5877.4,0.001127,0.001318,0.001675,37905.8,43878.0,59334.0,low,low
easy2hard_E2H-AMC_03500,easy2hard_amc,5,395,0.7665024419913112,0,0,0.2,0.2,0.0,8189.0,6405.8,25596.4,0.002312,0.001824,0.007199,88114.8,63243.2,269743.4,high,high
easy2hard_E2H-AMC_03578,easy2hard_amc,2,437,0.28437750209621004,0,0,1.0,1.0,1.0,1174.4,2254.6,3801.2,0.000353,0.000667,0.001102,12359.4,23028.0,38553.0,low,low
easy2hard_E2H-AMC_03587,easy2hard_amc,4,251,0.6633506571429243,0,0,0.0,0.0,0.0,8729.2,15918.2,24110.0,0.002459,0.004484,0.006779,86774.0,156261.8,257687.6,low,low
easy2hard_E2H-AMC_03597,easy2hard_amc,2,109,0.26265743413369097,0,0,0.2,0.0,0.4,555.8,278.4,566.2,0.000166,9.9e-05,0.000182,5837.0,3231.2,6014.4,max,max
easy2hard_E2H-AMC_03629,easy2hard_amc,5,386,0.7144440961442543,0,0,1.0,1.0,1.0,7149.2,17676.0,32322.8,0.002025,0.004984,0.009087,68627.8,159958.4,319649.0,low,low
easy2hard_E2H-AMC_03675,easy2hard_amc,2,695,0.29832393249109174,0,0,0.0,0.0,0.0,1280.2,1721.6,5977.4,0.000404,0.000538,0.001732,13405.6,18096.2,61621.6,low,low
easy2hard_E2H-AMC_03740,easy2hard_amc,3,256,0.33702535679265244,0,0,1.0,1.0,1.0,9592.6,19297.8,26782.4,0.002703,0.005431,0.007529,89324.4,167906.0,268537.2,low,low
easy2hard_E2H-AMC_03742,easy2hard_amc,5,164,0.7026852017304607,0,0,0.8,1.0,1.0,804.6,1435.0,1198.4,0.000239,0.000426,0.000362,7062.0,12518.2,10880.8,max,max
easy2hard_E2H-AMC_03761,easy2hard_amc,1,358,0.14624167564655408,0,0,0.8,0.6,0.8,142.8,110.6,107.6,5.6e-05,5.9e-05,5.9e-05,1868.2,1668.6,1771.2,max,max
easy2hard_E2H-AMC_03774,easy2hard_amc,1,182,0.19509050245476323,0,0,0.8,1.0,1.0,624.0,267.0,549.0,0.000188,9.9e-05,0.00018,5990.2,2858.8,5471.8,high,high
easy2hard_E2H-AMC_03776,easy2hard_amc,1,80,0.1949661225720973,0,0,1.0,1.0,1.0,116.4,216.4,312.6,4.3e-05,8.2e-05,0.00011,1893.2,2843.2,3612.4,low,low
easy2hard_E2H-AMC_03879,easy2hard_amc,2,306,0.2817192332442964,0,0,1.0,1.0,1.0,5812.2,2126.6,4754.8,0.001643,0.000622,0.00136,57662.2,21190.2,47621.4,high,high
easy2hard_E2H-AMC_03902,easy2hard_amc,3,839,0.35762860369487526,0,0,0.0,0.0,0.0,3624.6,5571.8,15636.0,0.001068,0.001625,0.004444,36808.6,54152.4,161065.6,low,low
easy2hard_E2H-AMC_03944,easy2hard_amc,4,184,0.6964062624634387,0,0,1.0,1.0,1.0,3611.0,4388.6,3748.4,0.001024,0.001253,0.001076,39511.8,44236.8,40205.8,low,low
gpqa_000,gpqa_diamond,1,262,0.5,0,0,0.4,0.0,0.0,8243.6,6704.2,10938.2,0.002323,0.001903,0.00309,83971.4,65549.8,109824.8,low,low
gpqa_001,gpqa_diamond,1,307,0.5,0,0,1.0,1.0,1.0,9889.0,6298.6,15074.6,0.002786,0.001792,0.004251,107190.4,64943.0,168356.0,high,high
gpqa_002,gpqa_diamond,1,354,0.5,0,0,0.0,0.0,0.0,2026.0,4334.2,15468.2,0.000586,0.001244,0.004363,19881.4,41387.2,163415.0,low,low
gpqa_003,gpqa_diamond,1,174,0.5,0,0,0.0,0.4,0.4,4685.8,556.8,6485.8,0.001323,0.000178,0.00184,46187.0,6071.2,67549.2,high,high
gpqa_004,gpqa_diamond,1,817,0.5,0,0,0.0,0.0,0.0,2120.4,4479.2,11752.4,0.000632,0.001304,0.003342,20236.4,39902.8,114077.4,low,low
gpqa_005,gpqa_diamond,1,181,0.5,0,0,0.0,0.0,0.4,7931.0,5284.4,17310.8,0.002235,0.001505,0.004874,75999.0,49840.2,167471.6,max,max
gpqa_006,gpqa_diamond,1,380,0.5,0,0,0.6,0.8,0.4,2917.8,5248.4,17298.4,0.000835,0.001499,0.004874,28902.8,51358.6,187274.4,high,high
gpqa_007,gpqa_diamond,1,1154,0.5,0,0,0.2,0.4,0.2,15231.2,40516.2,28483.4,0.004313,0.011404,0.008036,167874.4,422811.4,304334.2,high,high
gpqa_008,gpqa_diamond,1,205,0.5,0,0,1.0,0.2,0.8,17713.0,31240.2,46245.0,0.00498,0.008779,0.012982,189233.2,7916468.8,8059009.0,low,low
gpqa_009,gpqa_diamond,1,343,0.5,0,0,1.0,1.0,1.0,843.4,244.0,492.8,0.000254,9.7e-05,0.000169,9168.4,3136.8,5577.6,high,high
gpqa_010,gpqa_diamond,1,139,0.5,0,0,0.8,0.8,1.0,2290.0,2435.2,5661.8,0.000652,0.000704,0.001609,24680.8,26712.0,61759.4,max,max
