id,source_id,grid_size,n_houses,n_attributes,n_cells,n_clues,complexity_rank,quintile
zebralogic_03300,lgp-test-3x3-24,3*3,3,3,9,5,206,2
zebralogic_03301,lgp-test-5x6-12,5*6,5,6,30,20,903,5
zebralogic_03302,lgp-test-2x6-25,2*6,2,6,12,6,347,2
zebralogic_03303,lgp-test-4x3-26,4*3,4,3,12,8,411,3
zebralogic_03304,lgp-test-5x6-29,5*6,5,6,30,21,921,5
zebralogic_03305,lgp-test-2x6-14,2*6,2,6,12,5,325,2
zebralogic_03306,lgp-test-2x5-30,2*5,2,5,10,4,245,2
zebralogic_03307,lgp-test-5x5-21,5*5,5,5,25,16,847,5
zebralogic_03308,lgp-test-2x4-33,2*4,2,4,8,4,146,1
zebralogic_03309,lgp-test-4x2-28,4*2,4,2,8,5,163,1
zebralogic_03310,lgp-test-6x6-5,6*6,6,6,36,24,963,5
zebralogic_03311,lgp-test-2x2-18,2*2,2,2,4,2,8,1
zebralogic_03312,lgp-test-2x6-29,2*6,2,6,12,6,348,2
zebralogic_03313,lgp-test-4x2-14,4*2,4,2,8,6,180,1
zebralogic_03314,lgp-test-4x6-29,4*6,4,6,24,14,765,4
zebralogic_03315,lgp-test-5x3-26,5*3,5,3,15,9,503,3
zebralogic_03316,lgp-test-5x6-3,5*6,5,6,30,20,904,5
zebralogic_03317,lgp-test-3x2-21,3*2,3,2,6,3,57,1
zebralogic_03318,lgp-test-4x6-26,4*6,4,6,24,15,782,4
zebralogic_03319,lgp-test-4x6-21,4*6,4,6,24,14,766,4
zebralogic_03320,lgp-test-3x4-19,3*4,3,4,12,5,326,2
zebralogic_03321,lgp-test-5x2-38,5*2,5,2,10,7,286,2
zebralogic_03322,lgp-test-3x6-26,3*6,3,6,18,11,632,4
zebralogic_03323,lgp-test-3x6-4,3*6,3,6,18,9,603,4
zebralogic_03324,lgp-test-6x3-39,6*3,6,3,18,14,657,4
zebralogic_03325,lgp-test-3x5-14,3*5,3,5,15,10,522,3
zebralogic_03326,lgp-test-2x2-16,2*2,2,2,4,2,9,1
zebralogic_03327,lgp-test-3x2-2,3*2,3,2,6,4,92,1
zebralogic_03328,lgp-test-2x2-1,2*2,2,2,4,2,10,1
zebralogic_03329,lgp-test-2x2-38,2*2,2,2,4,2,11,1
zebralogic_03330,lgp-test-3x4-10,3*4,3,4,12,7,383,2
zebralogic_03331,lgp-test-4x4-13,4*4,4,4,16,10,573,3
zebralogic_03332,lgp-test-3x3-7,3*3,3,3,9,6,232,2
zebralogic_03333,lgp-test-4x4-26,4*4,4,4,16,9,562,3
zebralogic_03334,lgp-test-6x4-16,6*4,6,4,24,15,783,4
zebralogic_03335,lgp-test-5x4-33,5*4,5,4,20,13,707,4
zebralogic_03336,lgp-test-6x4-11,6*4,6,4,24,18,826,5
zebralogic_03337,lgp-test-2x3-36,2*3,2,3,6,2,42,1
zebralogic_03338,lgp-test-6x4-31,6*4,6,4,24,17,812,5
zebralogic_03339,lgp-test-5x6-32,5*6,5,6,30,19,887,5
zebralogic_03340,lgp-test-4x4-28,4*4,4,4,16,10,574,3
zebralogic_03341,lgp-test-2x6-17,2*6,2,6,12,6,349,2
zebralogic_03342,lgp-test-6x3-2,6*3,6,3,18,16,678,4
zebralogic_03343,lgp-test-3x2-0,3*2,3,2,6,3,58,1
zebralogic_03344,lgp-test-5x6-5,5*6,5,6,30,21,922,5
zebralogic_03345,lgp-test-6x4-29,6*4,6,4,24,15,784,4
zebralogic_03346,lgp-test-3x4-13,3*4,3,4,12,6,350,2
zebralogic_03347,lgp-test-4x5-18,4*5,4,5,20,11,681,4
zebralogic_03348,lgp-test-2x2-24,2*2,2,2,4,2,12,1
zebralogic_03349,lgp-test-5x4-14,5*4,5,4,20,13,708,4
zebralogic_03350,lgp-test-3x2-10,3*2,3,2,6,4,93,1
zebralogic_03351,lgp-test-4x2-24,4*2,4,2,8,6,181,1
zebralogic_03352,lgp-test-4x5-8,4*5,4,5,20,13,709,4
zebralogic_03353,lgp-test-2x2-34,2*2,2,2,4,2,13,1
zebralogic_03354,lgp-test-6x5-8,6*5,6,5,30,20,905,5
zebralogic_03355,lgp-test-3x6-38,3*6,3,6,18,10,612,4
zebralogic_03356,lgp-test-5x2-7,5*2,5,2,10,8,301,2
zebralogic_03357,lgp-test-3x4-18,3*4,3,4,12,6,351,2
zebralogic_03358,lgp-test-6x3-8,6*3,6,3,18,13,649,4
zebralogic_03359,lgp-test-5x3-28,5*3,5,3,15,10,523,3
zebralogic_03360,lgp-test-3x4-2,3*4,3,4,12,6,352,2
zebralogic_03361,lgp-test-6x5-19,6*5,6,5,30,21,923,5
zebralogic_03362,lgp-test-6x5-24,6*5,6,5,30,20,906,5
zebralogic_03363,lgp-test-5x2-6,5*2,5,2,10,8,302,2
zebralogic_03364,lgp-test-6x5-39,6*5,6,5,30,22,937,5
zebralogic_03365,lgp-test-6x5-14,6*5,6,5,30,24,957,5
zebralogic_03366,lgp-test-5x5-11,5*5,5,5,25,17,857,5
zebralogic_03367,lgp-test-3x4-7,3*4,3,4,12,5,327,2
zebralogic_03368,lgp-test-4x5-7,4*5,4,5,20,13,710,4
zebralogic_03369,lgp-test-6x2-7,6*2,6,2,12,13,478,3
zebralogic_03370,lgp-test-3x2-29,3*2,3,2,6,4,94,1
zebralogic_03371,lgp-test-4x2-36,4*2,4,2,8,6,182,1
zebralogic_03372,lgp-test-2x2-28,2*2,2,2,4,2,14,1
zebralogic_03373,lgp-test-3x6-14,3*6,3,6,18,11,633,4
zebralogic_03374,lgp-test-6x2-19,6*2,6,2,12,8,412,3
zebralogic_03375,lgp-test-3x4-36,3*4,3,4,12,6,353,2
zebralogic_03376,lgp-test-4x6-0,4*6,4,6,24,14,767,4
zebralogic_03377,lgp-test-3x3-1,3*3,3,3,9,5,207,2
zebralogic_03378,lgp-test-2x5-29,2*5,2,5,10,4,246,2
zebralogic_03379,lgp-test-4x4-36,4*4,4,4,16,11,587,3
zebralogic_03380,lgp-test-4x2-17,4*2,4,2,8,6,183,1
zebralogic_03381,lgp-test-5x3-20,5*3,5,3,15,12,551,3
zebralogic_03382,lgp-test-2x6-38,2*6,2,6,12,4,321,2
zebralogic_03383,lgp-test-4x6-25,4*6,4,6,24,15,785,4
zebralogic_03384,lgp-test-3x5-5,3*5,3,5,15,10,524,3
zebralogic_03385,lgp-test-6x2-23,6*2,6,2,12,7,384,2
zebralogic_03386,lgp-test-5x4-22,5*4,5,4,20,14,736,4
zebralogic_03387,lgp-test-6x5-29,6*5,6,5,30,22,938,5
zebralogic_03388,lgp-test-4x4-35,4*4,4,4,16,11,588,3
zebralogic_03389,lgp-test-6x3-24,6*3,6,3,18,16,679,4
zebralogic_03390,lgp-test-6x2-36,6*2,6,2,12,10,453,3
zebralogic_03391,lgp-test-6x3-37,6*3,6,3,18,12,641,4
zebralogic_03392,lgp-test-3x5-39,3*5,3,5,15,8,487,3
zebralogic_03393,lgp-test-4x6-34,4*6,4,6,24,14,768,4
zebralogic_03394,lgp-test-5x6-28,5*6,5,6,30,22,939,5
zebralogic_03395,lgp-test-2x6-28,2*6,2,6,12,5,328,2
zebralogic_03396,lgp-test-2x3-26,2*3,2,3,6,3,59,1
zebralogic_03397,lgp-test-3x5-35,3*5,3,5,15,7,481,3
zebralogic_03398,lgp-test-5x6-39,5*6,5,6,30,19,888,5
zebralogic_03399,lgp-test-6x4-22,6*4,6,4,24,17,813,5
zebralogic_03400,lgp-test-6x5-0,6*5,6,5,30,23,951,5
zebralogic_03401,lgp-test-6x5-22,6*5,6,5,30,21,924,5
zebralogic_03402,lgp-test-3x5-10,3*5,3,5,15,7,482,3
zebralogic_03403,lgp-test-5x5-7,5*5,5,5,25,16,848,5
zebralogic_03404,lgp-test-3x6-36,3*6,3,6,18,10,613,4
zebralogic_03405,lgp-test-4x3-23,4*3,4,3,12,7,385,2
zebralogic_03406,lgp-test-3x6-33,3*6,3,6,18,10,614,4
zebralogic_03407,lgp-test-3x4-31,3*4,3,4,12,7,386,2
zebralogic_03408,lgp-test-5x4-0,5*4,5,4,20,13,711,4
zebralogic_03409,lgp-test-5x5-24,5*5,5,5,25,17,858,5
zebralogic_03410,lgp-test-6x5-1,6*5,6,5,30,21,925,5
zebralogic_03411,lgp-test-4x3-21,4*3,4,3,12,9,434,3
zebralogic_03412,lgp-test-4x5-2,4*5,4,5,20,12,688,4
zebralogic_03413,lgp-test-5x2-31,5*2,5,2,10,9,315,2
zebralogic_03414,lgp-test-4x4-10,4*4,4,4,16,10,575,3
zebralogic_03415,lgp-test-2x6-35,2*6,2,6,12,5,329,2
zebralogic_03416,lgp-test-3x3-16,3*3,3,3,9,5,208,2
zebralogic_03417,lgp-test-5x4-13,5*4,5,4,20,12,689,4
zebralogic_03418,lgp-test-5x5-20,5*5,5,5,25,16,849,5
zebralogic_03419,lgp-test-4x6-17,4*6,4,6,24,14,769,4
zebralogic_03420,lgp-test-2x5-37,2*5,2,5,10,4,247,2
zebralogic_03421,lgp-test-5x2-12,5*2,5,2,10,9,316,2
zebralogic_03422,lgp-test-3x6-32,3*6,3,6,18,9,604,4
zebralogic_03423,lgp-test-6x6-9,6*6,6,6,36,26,983,5
zebralogic_03424,lgp-test-5x4-8,5*4,5,4,20,15,751,4
zebralogic_03425,lgp-test-3x6-1,3*6,3,6,18,9,605,4
zebralogic_03426,lgp-test-6x2-16,6*2,6,2,12,10,454,3
zebralogic_03427,lgp-test-4x2-1,4*2,4,2,8,5,164,1
zebralogic_03428,lgp-test-2x4-12,2*4,2,4,8,4,147,1
zebralogic_03429,lgp-test-6x4-37,6*4,6,4,24,16,800,4
zebralogic_03430,lgp-test-4x4-9,4*4,4,4,16,9,563,3
zebralogic_03431,lgp-test-4x3-11,4*3,4,3,12,7,387,2
zebralogic_03432,lgp-test-3x3-11,3*3,3,3,9,6,233,2
zebralogic_03433,lgp-test-5x3-13,5*3,5,3,15,11,536,3
zebralogic_03434,lgp-test-5x6-9,5*6,5,6,30,20,907,5
zebralogic_03435,lgp-test-5x3-30,5*3,5,3,15,10,525,3
zebralogic_03436,lgp-test-2x5-9,2*5,2,5,10,5,263,2
zebralogic_03437,lgp-test-5x2-37,5*2,5,2,10,7,287,2
zebralogic_03438,lgp-test-6x6-31,6*6,6,6,36,29,998,5
zebralogic_03439,lgp-test-3x5-22,3*5,3,5,15,7,483,3
zebralogic_03440,lgp-test-3x4-28,3*4,3,4,12,6,354,2
zebralogic_03441,lgp-test-2x5-16,2*5,2,5,10,5,264,2
zebralogic_03442,lgp-test-2x4-8,2*4,2,4,8,3,123,1
zebralogic_03443,lgp-test-3x5-7,3*5,3,5,15,9,504,3
zebralogic_03444,lgp-test-4x3-35,4*3,4,3,12,7,388,2
zebralogic_03445,lgp-test-6x6-21,6*6,6,6,36,24,964,5
zebralogic_03446,lgp-test-6x3-10,6*3,6,3,18,14,658,4
zebralogic_03447,lgp-test-6x4-12,6*4,6,4,24,16,801,5
zebralogic_03448,lgp-test-3x6-15,3*6,3,6,18,10,615,4
zebralogic_03449,lgp-test-2x6-18,2*6,2,6,12,6,355,2
zebralogic_03450,lgp-test-2x2-26,2*2,2,2,4,2,15,1
zebralogic_03451,lgp-test-3x5-29,3*5,3,5,15,9,505,3
zebralogic_03452,lgp-test-4x4-19,4*4,4,4,16,10,576,3
zebralogic_03453,lgp-test-4x3-34,4*3,4,3,12,8,413,3
zebralogic_03454,lgp-test-5x2-17,5*2,5,2,10,9,317,2
zebralogic_03455,lgp-test-5x4-17,5*4,5,4,20,15,752,4
zebralogic_03456,lgp-test-2x3-10,2*3,2,3,6,3,60,1
zebralogic_03457,lgp-test-3x2-11,3*2,3,2,6,4,95,1
zebralogic_03458,lgp-test-3x6-21,3*6,3,6,18,9,606,4
zebralogic_03459,lgp-test-6x4-3,6*4,6,4,24,17,814,5
zebralogic_03460,lgp-test-2x6-13,2*6,2,6,12,5,330,2
zebralogic_03461,lgp-test-2x5-27,2*5,2,5,10,4,248,2
zebralogic_03462,lgp-test-4x2-19,4*2,4,2,8,5,165,1
zebralogic_03463,lgp-test-6x6-1,6*6,6,6,36,27,991,5
zebralogic_03464,lgp-test-2x5-28,2*5,2,5,10,3,241,2
zebralogic_03465,lgp-test-6x6-15,6*6,6,6,36,25,974,5
zebralogic_03466,lgp-test-2x3-39,2*3,2,3,6,3,61,1
zebralogic_03467,lgp-test-5x6-15,5*6,5,6,30,19,889,5
zebralogic_03468,lgp-test-3x4-22,3*4,3,4,12,6,356,2
zebralogic_03469,lgp-test-6x6-35,6*6,6,6,36,24,965,5
zebralogic_03470,lgp-test-4x5-5,4*5,4,5,20,13,712,4
zebralogic_03471,lgp-test-5x6-14,5*6,5,6,30,18,884,5
zebralogic_03472,lgp-test-3x2-31,3*2,3,2,6,4,96,1
zebralogic_03473,lgp-test-5x2-25,5*2,5,2,10,7,288,2
zebralogic_03474,lgp-test-6x2-0,6*2,6,2,12,10,455,3
zebralogic_03475,lgp-test-4x6-1,4*6,4,6,24,13,761,4
zebralogic_03476,lgp-test-4x4-29,4*4,4,4,16,9,564,3
zebralogic_03477,lgp-test-6x3-0,6*3,6,3,18,13,650,4
zebralogic_03478,lgp-test-4x4-14,4*4,4,4,16,10,577,3
zebralogic_03479,lgp-test-2x4-39,2*4,2,4,8,4,148,1
zebralogic_03480,lgp-test-4x3-37,4*3,4,3,12,8,414,3
zebralogic_03481,lgp-test-2x5-24,2*5,2,5,10,4,249,2
zebralogic_03482,lgp-test-2x2-29,2*2,2,2,4,2,16,1
zebralogic_03483,lgp-test-6x4-30,6*4,6,4,24,17,815,5
zebralogic_03484,lgp-test-2x5-1,2*5,2,5,10,4,250,2
zebralogic_03485,lgp-test-5x2-5,5*2,5,2,10,9,318,2
zebralogic_03486,lgp-test-2x3-21,2*3,2,3,6,3,62,1
zebralogic_03487,lgp-test-6x3-31,6*3,6,3,18,13,651,4
zebralogic_03488,lgp-test-4x6-12,4*6,4,6,24,15,786,4
zebralogic_03489,lgp-test-2x2-5,2*2,2,2,4,2,17,1
zebralogic_03490,lgp-test-6x5-6,6*5,6,5,30,21,926,5
zebralogic_03491,lgp-test-5x2-39,5*2,5,2,10,8,303,2
zebralogic_03492,lgp-test-4x2-39,4*2,4,2,8,6,184,1
zebralogic_03493,lgp-test-5x5-9,5*5,5,5,25,15,841,5
zebralogic_03494,lgp-test-2x6-33,2*6,2,6,12,4,322,2
zebralogic_03495,lgp-test-5x5-32,5*5,5,5,25,17,859,5
zebralogic_03496,lgp-test-5x2-26,5*2,5,2,10,7,289,2
zebralogic_03497,lgp-test-4x6-11,4*6,4,6,24,16,802,5
zebralogic_03498,lgp-test-2x2-17,2*2,2,2,4,2,18,1
zebralogic_03499,lgp-test-5x5-22,5*5,5,5,25,17,860,5
zebralogic_03500,lgp-test-6x4-34,6*4,6,4,24,19,834,5
zebralogic_03501,lgp-test-4x4-30,4*4,4,4,16,9,565,3
zebralogic_03502,lgp-test-4x6-13,4*6,4,6,24,15,787,4
zebralogic_03503,lgp-test-2x5-18,2*5,2,5,10,5,265,2
zebralogic_03504,lgp-test-2x6-31,2*6,2,6,12,5,331,2
zebralogic_03505,lgp-test-2x2-4,2*2,2,2,4,2,19,1
zebralogic_03506,lgp-test-4x3-3,4*3,4,3,12,8,415,3
zebralogic_03507,lgp-test-2x2-20,2*2,2,2,4,2,20,1
zebralogic_03508,lgp-test-3x2-13,3*2,3,2,6,4,97,1
zebralogic_03509,lgp-test-2x3-24,2*3,2,3,6,2,43,1
zebralogic_03510,lgp-test-4x2-11,4*2,4,2,8,6,185,1
zebralogic_03511,lgp-test-3x4-21,3*4,3,4,12,8,416,3
zebralogic_03512,lgp-test-3x5-13,3*5,3,5,15,8,488,3
zebralogic_03513,lgp-test-2x6-32,2*6,2,6,12,5,332,2
zebralogic_03514,lgp-test-5x3-24,5*3,5,3,15,12,552,3
zebralogic_03515,lgp-test-3x3-22,3*3,3,3,9,5,209,2
zebralogic_03516,lgp-test-5x3-7,5*3,5,3,15,10,526,3
zebralogic_03517,lgp-test-6x2-10,6*2,6,2,12,11,469,3
zebralogic_03518,lgp-test-3x2-32,3*2,3,2,6,4,98,1
zebralogic_03519,lgp-test-5x6-35,5*6,5,6,30,21,927,5
zebralogic_03520,lgp-test-5x4-1,5*4,5,4,20,14,737,4
zebralogic_03521,lgp-test-6x2-4,6*2,6,2,12,10,456,3
zebralogic_03522,lgp-test-4x4-2,4*4,4,4,16,9,566,3
zebralogic_03523,lgp-test-3x6-0,3*6,3,6,18,11,634,4
zebralogic_03524,lgp-test-6x2-38,6*2,6,2,12,11,470,3
zebralogic_03525,lgp-test-3x2-36,3*2,3,2,6,4,99,1
zebralogic_03526,lgp-test-5x2-27,5*2,5,2,10,7,290,2
zebralogic_03527,lgp-test-6x5-37,6*5,6,5,30,22,940,5
zebralogic_03528,lgp-test-4x6-22,4*6,4,6,24,16,803,5
zebralogic_03529,lgp-test-3x3-32,3*3,3,3,9,5,210,2
zebralogic_03530,lgp-test-3x2-1,3*2,3,2,6,4,100,1
zebralogic_03531,lgp-test-2x2-13,2*2,2,2,4,2,21,1
zebralogic_03532,lgp-test-4x2-27,4*2,4,2,8,6,186,1
zebralogic_03533,lgp-test-3x2-39,3*2,3,2,6,3,63,1
zebralogic_03534,lgp-test-2x4-4,2*4,2,4,8,3,124,1
zebralogic_03535,lgp-test-4x5-12,4*5,4,5,20,12,690,4
zebralogic_03536,lgp-test-2x6-12,2*6,2,6,12,5,333,2
zebralogic_03537,lgp-test-3x4-9,3*4,3,4,12,7,389,2
zebralogic_03538,lgp-test-4x4-5,4*4,4,4,16,12,597,3
zebralogic_03539,lgp-test-3x5-9,3*5,3,5,15,7,484,3
zebralogic_03540,lgp-test-5x4-3,5*4,5,4,20,12,691,4
zebralogic_03541,lgp-test-3x4-38,3*4,3,4,12,6,357,2
zebralogic_03542,lgp-test-4x3-14,4*3,4,3,12,9,435,3
zebralogic_03543,lgp-test-3x3-9,3*3,3,3,9,5,211,2
zebralogic_03544,lgp-test-6x3-6,6*3,6,3,18,15,672,4
zebralogic_03545,lgp-test-3x3-39,3*3,3,3,9,5,212,2
zebralogic_03546,lgp-test-4x3-15,4*3,4,3,12,9,436,3
zebralogic_03547,lgp-test-6x4-21,6*4,6,4,24,18,827,5
zebralogic_03548,lgp-test-5x6-1,5*6,5,6,30,22,941,5
zebralogic_03549,lgp-test-4x5-27,4*5,4,5,20,13,713,4
zebralogic_03550,lgp-test-2x6-20,2*6,2,6,12,5,334,2
zebralogic_03551,lgp-test-4x5-37,4*5,4,5,20,13,714,4
zebralogic_03552,lgp-test-5x2-28,5*2,5,2,10,8,304,2
zebralogic_03553,lgp-test-4x2-23,4*2,4,2,8,5,166,1
zebralogic_03554,lgp-test-6x3-3,6*3,6,3,18,14,659,4
zebralogic_03555,lgp-test-2x2-10,2*2,2,2,4,2,22,1
zebralogic_03556,lgp-test-2x6-39,2*6,2,6,12,6,358,2
zebralogic_03557,lgp-test-4x2-25,4*2,4,2,8,6,187,1
zebralogic_03558,lgp-test-4x5-14,4*5,4,5,20,12,692,4
zebralogic_03559,lgp-test-2x2-31,2*2,2,2,4,2,23,1
zebralogic_03560,lgp-test-4x6-19,4*6,4,6,24,15,788,4
zebralogic_03561,lgp-test-4x2-4,4*2,4,2,8,6,188,1
zebralogic_03562,lgp-test-3x3-37,3*3,3,3,9,5,213,2
zebralogic_03563,lgp-test-4x3-4,4*3,4,3,12,6,359,2
zebralogic_03564,lgp-test-5x6-11,5*6,5,6,30,20,908,5
zebralogic_03565,lgp-test-3x6-12,3*6,3,6,18,10,616,4
zebralogic_03566,lgp-test-5x5-2,5*5,5,5,25,16,850,5
zebralogic_03567,lgp-test-4x2-0,4*2,4,2,8,6,189,1
zebralogic_03568,lgp-test-2x3-38,2*3,2,3,6,2,44,1
zebralogic_03569,lgp-test-4x5-17,4*5,4,5,20,11,682,4
zebralogic_03570,lgp-test-4x6-15,4*6,4,6,24,13,762,4
zebralogic_03571,lgp-test-4x5-28,4*5,4,5,20,13,715,4
zebralogic_03572,lgp-test-5x4-30,5*4,5,4,20,15,753,4
zebralogic_03573,lgp-test-2x3-1,2*3,2,3,6,2,45,1
zebralogic_03574,lgp-test-6x4-5,6*4,6,4,24,18,828,5
zebralogic_03575,lgp-test-5x2-32,5*2,5,2,10,10,319,2
zebralogic_03576,lgp-test-6x3-18,6*3,6,3,18,12,642,4
zebralogic_03577,lgp-test-2x5-19,2*5,2,5,10,5,266,2
zebralogic_03578,lgp-test-3x6-25,3*6,3,6,18,10,617,4
zebralogic_03579,lgp-test-4x3-16,4*3,4,3,12,8,417,3
zebralogic_03580,lgp-test-6x5-12,6*5,6,5,30,21,928,5
zebralogic_03581,lgp-test-6x2-13,6*2,6,2,12,11,471,3
zebralogic_03582,lgp-test-2x5-20,2*5,2,5,10,4,251,2
zebralogic_03583,lgp-test-5x2-24,5*2,5,2,10,8,305,2
zebralogic_03584,lgp-test-3x5-0,3*5,3,5,15,9,506,3
zebralogic_03585,lgp-test-5x4-28,5*4,5,4,20,16,758,4
zebralogic_03586,lgp-test-4x3-17,4*3,4,3,12,7,390,2
zebralogic_03587,lgp-test-6x3-33,6*3,6,3,18,15,673,4
zebralogic_03588,lgp-test-3x5-6,3*5,3,5,15,9,507,3
zebralogic_03589,lgp-test-2x5-6,2*5,2,5,10,3,242,2
zebralogic_03590,lgp-test-2x5-12,2*5,2,5,10,5,267,2
zebralogic_03591,lgp-test-6x2-17,6*2,6,2,12,16,480,3
zebralogic_03592,lgp-test-3x6-37,3*6,3,6,18,8,601,4
zebralogic_03593,lgp-test-6x4-35,6*4,6,4,24,18,829,5
zebralogic_03594,lgp-test-6x6-33,6*6,6,6,36,24,966,5
zebralogic_03595,lgp-test-4x2-15,4*2,4,2,8,6,190,1
zebralogic_03596,lgp-test-4x6-35,4*6,4,6,24,14,770,4
zebralogic_03597,lgp-test-3x3-18,3*3,3,3,9,7,240,2
zebralogic_03598,lgp-test-3x4-33,3*4,3,4,12,6,360,2
zebralogic_03599,lgp-test-4x2-9,4*2,4,2,8,5,167,1
zebralogic_03600,lgp-test-2x6-2,2*6,2,6,12,5,335,2
zebralogic_03601,lgp-test-3x4-24,3*4,3,4,12,7,391,2
zebralogic_03602,lgp-test-3x4-6,3*4,3,4,12,7,392,2
zebralogic_03603,lgp-test-5x3-4,5*3,5,3,15,11,537,3
zebralogic_03604,lgp-test-5x2-35,5*2,5,2,10,8,306,2
zebralogic_03605,lgp-test-3x5-33,3*5,3,5,15,8,489,3
zebralogic_03606,lgp-test-2x3-28,2*3,2,3,6,3,64,1
zebralogic_03607,lgp-test-5x3-38,5*3,5,3,15,11,538,3
zebralogic_03608,lgp-test-6x2-33,6*2,6,2,12,9,437,3
zebralogic_03609,lgp-test-6x5-15,6*5,6,5,30,21,929,5
zebralogic_03610,lgp-test-5x3-39,5*3,5,3,15,11,539,3
zebralogic_03611,lgp-test-5x4-39,5*4,5,4,20,14,738,4
zebralogic_03612,lgp-test-3x2-37,3*2,3,2,6,4,101,1
zebralogic_03613,lgp-test-3x3-25,3*3,3,3,9,5,214,2
zebralogic_03614,lgp-test-2x4-10,2*4,2,4,8,4,149,1
zebralogic_03615,lgp-test-6x2-35,6*2,6,2,12,10,457,3
zebralogic_03616,lgp-test-6x3-22,6*3,6,3,18,14,660,4
zebralogic_03617,lgp-test-2x3-14,2*3,2,3,6,3,65,1
zebralogic_03618,lgp-test-5x3-17,5*3,5,3,15,10,527,3
zebralogic_03619,lgp-test-6x5-23,6*5,6,5,30,20,909,5
zebralogic_03620,lgp-test-4x2-6,4*2,4,2,8,5,168,1
zebralogic_03621,lgp-test-3x6-20,3*6,3,6,18,10,618,4
zebralogic_03622,lgp-test-2x5-4,2*5,2,5,10,5,268,2
zebralogic_03623,lgp-test-4x4-11,4*4,4,4,16,12,598,3
zebralogic_03624,lgp-test-6x2-2,6*2,6,2,12,10,458,3
zebralogic_03625,lgp-test-6x4-20,6*4,6,4,24,18,830,5
zebralogic_03626,lgp-test-4x2-30,4*2,4,2,8,6,191,1
zebralogic_03627,lgp-test-6x5-25,6*5,6,5,30,24,958,5
zebralogic_03628,lgp-test-5x4-23,5*4,5,4,20,12,693,4
zebralogic_03629,lgp-test-3x4-14,3*4,3,4,12,5,336,2
zebralogic_03630,lgp-test-6x3-38,6*3,6,3,18,14,661,4
zebralogic_03631,lgp-test-3x2-12,3*2,3,2,6,4,102,1
zebralogic_03632,lgp-test-6x4-38,6*4,6,4,24,21,840,5
zebralogic_03633,lgp-test-2x2-37,2*2,2,2,4,1,1,1
zebralogic_03634,lgp-test-6x3-20,6*3,6,3,18,13,652,4
